dataset_id,dimension,bin_width_ps,leak_EC_actual_bits,leak_EC_per_input_bit,notes,method
real_typeii_20db_d1024_bw100_blk0,1024,100.0,1508.0,0.5890625,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=180; verification_bits=128; other_disclosures_bits=0; candidate_flips=60; verified_flips=60; total_blocks_checked=600",cascade_lite
real_typeii_20db_d1024_bw100_blk0,1024,100.0,912.0,0.35625,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300; status_reason=no_verified_success; success=0/4; raw_ser=0.2421875; post_ir_ser=0.0625",cascade_lite
real_typeii_20db_d1024_bw100_blk0,1024,100.0,1508.0,0.5890625,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=180; verification_bits=128; other_disclosures_bits=0; candidate_flips=60; verified_flips=60; total_blocks_checked=600",cascade_lite
real_typeii_20db_d1024_bw100_blk0,1024,100.0,1508.0,0.5890625,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=180; verification_bits=128; other_disclosures_bits=0; candidate_flips=60; verified_flips=60; total_blocks_checked=600",cascade_lite
real_typeii_20db_d1024_bw100_blk0,1024,100.0,1508.0,0.5890625,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=180; verification_bits=128; other_disclosures_bits=0; candidate_flips=60; verified_flips=60; total_blocks_checked=600",cascade_lite
real_typeii_20db_d1024_bw100_blk0,1024,100.0,1524.0,0.5953125,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=196; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=600",cascade_lite
real_typeii_20db_d1024_bw100_blk0,1024,100.0,1524.0,0.5953125,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=196; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=600",cascade_lite
real_typeii_20db_d1024_bw100_blk0,1024,100.0,1524.0,0.5953125,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=196; verification_bits=128; other_disclosures_bits=0; candidate_flips=62; verified_flips=62; total_blocks_checked=600",cascade_lite
real_typeii_20db_d1024_bw100_blk0,1024,100.0,912.0,0.35625,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300; status_reason=no_verified_success; success=0/4; raw_ser=0.2421875; post_ir_ser=0.0625",cascade_lite
real_typeii_20db_d1024_bw100_blk0,1024,100.0,912.0,0.35625,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300; status_reason=no_verified_success; success=0/4; raw_ser=0.2421875; post_ir_ser=0.0625",cascade_lite
