dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,failure_reason,unsatisfied_checks_initial,unsatisfied_checks_final,syndrome_weight_initial,syndrome_weight_final,candidate_updates,notes,dimension,bin_width_ps,data_mode,q,frame_cap,decoder,channel_model,check_fraction,row_weight,max_iter,param_hash
qldpc_synth_q4_ser0p08_flen128,qldpc_reference,0,True,True,0.0703125,0.03515625,0.0,0.0,160.0,9,37.2188999899663,,24,0,24,0,9,channel_model=qary_symmetric; syndrome_symbols=64,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p08_flen128,qldpc_reference,1,True,False,0.09375,0.06640625,0.015625,0.01171875,160.0,12,51.85670001083054,candidate_failed_verification,23,0,23,0,12,channel_model=qary_symmetric; syndrome_symbols=64,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p08_flen128,qldpc_reference,2,True,False,0.0625,0.0390625,0.015625,0.0078125,160.0,8,35.263099998701364,candidate_failed_verification,14,0,14,0,8,channel_model=qary_symmetric; syndrome_symbols=64,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p08_flen128,qldpc_reference,3,True,True,0.0859375,0.05859375,0.0,0.0,160.0,11,49.42090000258759,,25,0,25,0,11,channel_model=qary_symmetric; syndrome_symbols=64,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p01_flen128,qldpc_reference,0,True,True,0.015625,0.0078125,0.0,0.0,160.0,2,12.100900028599426,,6,0,6,0,2,channel_model=qary_symmetric; syndrome_symbols=64,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p01_flen128,qldpc_reference,1,True,True,0.0078125,0.00390625,0.0,0.0,160.0,1,6.5867999801412225,,5,0,5,0,1,channel_model=qary_symmetric; syndrome_symbols=64,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p01_flen128,qldpc_reference,2,True,True,0.0078125,0.00390625,0.0,0.0,160.0,1,6.250800011912361,,2,0,2,0,1,channel_model=qary_symmetric; syndrome_symbols=64,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p01_flen128,qldpc_reference,3,True,True,0.0078125,0.00390625,0.0,0.0,160.0,1,6.195299996761605,,2,0,2,0,1,channel_model=qary_symmetric; syndrome_symbols=64,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p05_flen64,qldpc_reference,0,True,False,0.09375,0.078125,0.03125,0.0234375,96.0,6,12.887199991382658,candidate_failed_verification,11,0,11,0,6,channel_model=qary_symmetric; syndrome_symbols=32,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p05_flen64,qldpc_reference,1,True,True,0.046875,0.0234375,0.0,0.0,96.0,3,6.898199993884191,,7,0,7,0,3,channel_model=qary_symmetric; syndrome_symbols=32,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p05_flen64,qldpc_reference,2,True,True,0.03125,0.015625,0.0,0.0,96.0,2,6.627399998251349,,4,0,4,0,2,channel_model=qary_symmetric; syndrome_symbols=32,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p05_flen64,qldpc_reference,3,True,False,0.078125,0.0625,0.03125,0.0234375,96.0,3,6.759599986253306,candidate_failed_verification,6,0,6,0,3,channel_model=qary_symmetric; syndrome_symbols=32,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
qldpc_synth_q4_ser0p01_flen64,qldpc_reference,0,True,True,0.03125,0.0234375,0.0,0.0,96.0,2,4.8952000215649605,,3,0,3,0,2,channel_model=qary_symmetric; syndrome_symbols=32,4,,synthetic,4,4,qary_hard_syndrome_bf,qary_symmetric,0.5,4,20,43d014f94c106833
